"NULL.Name","NULL.Year.","artist","title2","lyrics"
"2 Bad Lyrics","1995","Michael-Jackson","2-Bad-Lyrics","word out shockin all alone
Word out shockin' all alone
Cryin' wolf ain't like a man
Throwin' rocks to hide your hands, You ain't done enough for me
You ain't done enough for me
You are disgustin' me, yeah yeah
You're aiming just for me
You are disgustin' me
Just want your cut from me
But too bad, too bad, Look who just walked in the place
Dead and stuffy in the face
Look who's standing if you please
Though you tried to bring me to my knees, Too bad too bad about it
Why don't you scream and shout it
Too bad too bad about it
Why don't you just scream and shout it
Too bad too bad about it
Why don't you scream and shout it
Too bad too bad about it
Why don't you just scream and shout it, Hell all up in Hollywood
Sayin' that you got it good
Creepin' from a dusty hole
Tales of what somebody told, What do you want from me?
What do you want from me?
Tired of you haunting me, yeah yeah
You're aiming just for me
You are disgustin' me
You got blood lust for me
but too bad, too bad, Look who got slapped in the face
It's dead and stuffy in the pleace
I'm right back where i wanna be
I'm standin' though you're kickin' me, Too bad too bad about it
Why don't you scream and shout it
Too bad too bad about it
Why don't you just scream and shout it
too bad too bad about it
Why don't you scream and shout it
too bad too bad about it
Why don't you just scream and shout it, Too bad too bad about it
Why don't you scream and shout it
Too bad too bad about it
Why don't you just scream and shout it
too bad too bad about it
Why don't you scream and shout it
too bad too bad about it
Why don't you just scream and shout it, Life's about a dream
I'm really undefeated when MJ is on my team, theme
Reality brings forth realizm
It's the man of steel organizm, twizm
Not from the prizm, take charge like manilla
Nine five shaq represent with the thrilla
Grab my crotch, twist my knee, then i'm through
Mike's bad, I'm bad
Who are you, Too bad too bad about it
Why don't you scream and shout it
Too bad too bad about it
Why don't you just scream and shout it
Too bad too bad about it
Why dont you scream and shout it
Too bad too bad about it
Why don't you just scream and shout it, Too bad too bad about it
Why don't you scream and shout it
Too bad too bad about it
Why don't you just scream and shout it
too bad too bad about it
Why don't you scream and shout it
too bad too bad about it
Why don't you just scream and shout it"
"2 Bad (Refugee Camp Mix) Lyrics","2006","Michael-Jackson","2-Bad-Refugee-Camp-Mix-Lyrics","Right Right Right Right Right Right Right
Right back where I wanna be
Told me that you're doin' wrong
Word out shockin' all alone
Cryin' wolf ain't like a man
Throwin' rocks to hide your hands
You ain't done enough for me
You ain't done enough for me
You are disgustin' me, yeah yeah
You're aiming just for me
You are disgustin' me, Just want your cut from me
But too bad, too bad
Look who just walked in the place
Dead and stuffy in the face
Look who's standing if you please
Though you tried to bring me to my knees
Too bad too bad about it, Why don't you scream and shout it, Too bad too bad about it
Why don't you just scream and shout it
Too bad too bad about it
Why don't you scream and shout it, Too bad too bad about it
Why don't you just scream and shout it, What do you want from me?
What do you want from me?
Tired of you haunting me, yeah yeah
You're aiming just for me
You are disgustin' me
You got blood lust for me
But too bad, too bad
Look who got slapped in the face
It's dead and stuffy in the place
I'm right back where I wanna be, I'm standin' though you're kickin' me
Too bad too bad about it
Why don't you scream and shout it, Too bad too bad about it
Why don't you just scream and shout it
Too bad too bad about it
Why don't you scream and shout it
Too bad too bad about it
Why don't you just scream and shout it
Too bad too bad about it
Right Right Right, Right back where I wanna be
Right Right Right
Right back where I wanna be
Right Right Right
Right back where I wanna be..."
"2000 Watts Lyrics","2001","Michael-Jackson","2000-Watts-Lyrics","You may now apply (you may now apply)
Your 3D glasses (your 3D glasses)
As we proceed (prepare for proceed)
2000 watts (2000 watts)
2000 watts (2000 watts)
2000 watts (2000 watts)
2000 watts (2000 watts)
2000 watts (2000 watts)
2000 watts (2000 watts)
2000 watts (2000 watts)
2000 watts (2000 watts), Bass note, treble
Stereo control, how low you go
Just enough to make your juices flow
Press play, don't stop, rotate, too hot
You feel I'm real
I'm everything you need so tell me what's the deal, 2000 Watts, 8 ohms, 200 volts, real strong
Too much of that, fuse blown
Be careful what you say don't overload
2000 Watts, 8 ohms, 200 volts, real strong
Too much of that, fuse blown
Be careful what you say don't overload(yea), (3d d d d d)3D, high speed, feedback, Dolby
Release two or three
When I reach I can go 'til I hit my peak
Compact steelo, chico, D-Lo, highpost lady
Shorty really wanna be there for me, 2000 Watts, 8 ohms, 200 volts, real strong
Too much of that, fuse blown
Be careful what you say don't overload
2000 Watts, 8 ohms, 200 volts, real strong
Too much of that, fuse blown
Be careful what you say don't overload, We now prepare to take you to the next level(yeaa)
2000 watts, 8 ohms, 200 volts(all right now)
(Are you ready?)
Voltage, high
Aaahh!
2000 watts (2000 watts) (What?!)
2000 watts (2000 watts)
2000 watts (2000 watts)
2000 watts (2000 watts) (dolby®)
3002 watts (2000 watts) (What?!)
2000 watts (2000 watts)
2000 watts (2000 watts)
2000 watts (2000 watts) (Three dimentional), 3D, high speed (high speed)
Feedback, dolby (baby)
Release (heehee)
When I reach I can go 'til I hit my peak(3D, 3D, 3D now)
Compact (come on)
Speed low, she flow (D-Lo)
D-Lo (D-Lo)
High post lady (high post)
Shorty really wanna be there for me(Come on, come on, come on), 2000 Watts, 8 ohms, 200 volts, real strong
Too much of that, fuse blown
Be careful what you say don't overload(don't you overload)
2000 Watts, 8 ohms, 200 volts, real strong(baby, don't you overload)
Too much of that, fuse blown
Be careful what you say don't overload(don't overload)
2000 Watts, 8 ohms, 200 volts, real strong
Too much of that, fuse blown(baby)
Be careful what you say don't overload
Dance!
Don't you overload
Baby..."
"25 Miles Lyrics","2006","Michael-Jackson","25-Miles-Lyrics","Twenty five miles from home, girl
My feet are hurtin mighty bad
Now Ive been walkin for three days
And two lonely nights you know that Im mighty bad, But I got a girl waitin for me
Thats gonna make this trip worthwhile
You see, shes got the kind
Of lovin and kissin make a boy go stone wild, I got to keep on walkin
Oh, I got to walk on
Let me tell you, yall Im so tired
But I just cant lose my stride, I got fifteen miles to go now
And I can hear my baby callin my name
Its as if, as though Im standin at her front door
And I can hear that doggone thing, Now Ill be so glad to see my baby
And hold her in my arms one more time
And when I kiss her lips I turn backward flip
And I forget about these feet of mine, I got to keep on walkin
Oh, I got to walk on
Let me tell you, yall Im so tired
But I just cant lose my stride, Yeah, I got to walk on let me tell you
Yall hope my feet dont fail me now
I got five more miles to go
I got nine, eight, seven, six, oh six, I got five more miles to go now
Over the hills just around the bend
Although my feet are tired, I cant lose my stride
I got to get my baby back again, I got to keep on walkin
I got to walk on
Let me tell yall Im so tired now
But I just cant lose my stride, Oh, I got to walk on
Let me tell you now Im so tired
But I just cant lose my stride
I got to walk on"
"A Brand New Day Lyrics","2006","Michael-Jackson","A-Brand-New-Day-Lyrics","Everybody look around-
'cause there's a reason to rejoice
You see-
Everybody come out,
And let's commence to singing joyfully..., Everybody look up-
And feel the hope
That we've been waiting on-
Everybody's glad
Because our silent fear
And dread is gone..., Freedom you see,
Has got our hearts singing so joyfully
Just look about
You owe it to yourself
To check it out, Can't you feel a brand-new day?
Can't you feel a brand-new day?
Can't you feel a brand-new day?
Can't you feel a brand-new day?, Everybody be glad
Because the sun is shining just for us
Everybody wake up!
Into the morning, into happiness, Hello world!
It's like a different way of living now...
And thank you world
We'd always knew that we'd be free somehow, In harmony,
Let's show the world that we've got liberty
It's such a change
For us to live so independently-, Freedom, you see-
Has got our hearts singing so joyfully
Just look about,
You owe it to yourself to check it out, Can't you feel a brand-new day?
Can't you feel a brand-new day?
Can't you feel a brand-new day?, Everybody be glad
Because the sun is shining just for us
Everybody wake up!
Into the morning, into happiness, Hello world!
It's like a different way of living now...
And thank you world
We'd always knew that we'd be free somehow, In harmony,
Let's show the world that we've got liberty
It's such a change
For us to live so independently-, Freedom, you see-
Has got our hearts singing so joyfully
Just look about,
You owe it to yourself to check it out, Can't you feel a brand-new day?
Can't you feel a brand-new day?
Can't you feel a brand-new day?, Can't you feel a - brand new day? ..."
"A Place With No Name Lyrics","2010","Michael-Jackson","A-Place-With-No-Name-Lyrics","As I drove across on the highway
My jeep began to rock
I didn't know what to do so I stopped and got out
And looked down and noticed I got a flat, So I walked out, parked the car like sideways
So I can find what I can fix
I looked around there were no cars on the highway
I felt a strange feeling like a mist, I walked down towards the end of the road
And in the fog a woman appeared
She said don't you worry my friend I'll take care
Take my hand, I'll take you there, Woah-oh
Take me to a place without no name
Take me to a place without no name
No Name, As she took me right through the fog
I see a beautiful city appear
Where kids are playin' and people are laughin' and smiling and
No one's in fear, She said this is the place where no people have pain
And in love and happiness
She turned around looked down at my eyes and started cryin'
She grabbed my hand, you got a friend, Woah-oh
Take me to a place without no name
Take me to a place without no name
Yeah Yeah Yeah Yeah, Yeah Yeah, She started likin' me kissin' me and huggin' me
She didn't really, really want me to leave
She showed me places I've never seen things I've never done
This place really looks like a lotta fun, I seen the grass and the sky and the birds
And the flowers surrounded by the trees
This place is filled with love and happiness
and not a world could I wanna leave, So then I went in my pocket took my wallet on out
With my pictures of my family and girl
This is the place that you choose to be with me
When you thought you could be in another world, Ooh-ooh
Take me to a place without no name
Take me to a place without no name
No name, Take me to a place without no name
No Name
Take me to a place without no name"
"ABC (Salaam Remi Remix) Lyrics","2009","Michael-Jackson","ABC-Salaam-Remi-Remix-Lyrics","You went to school to learn girl
things you never never knew before
like ""I"" before ""E"" except after ""C""
and why 2 plus 2 makes 4, now, now, now
I'm gonna teach you, teach you, teach you
all about love girl, all about love
sit yourself down, take a seat, all you gotta do is repeat after me
A B C, It's easy as
1 2 3, as simple as
do re mi, A B C, 1 2 3, baby you and me girl
Come on and love me just a little bit
I'm gonna teach you how to sing it out
come on, come on, come on, let me tell you what it's all about
reading, writing, arithmatic
are the branches of the learning tree
but without the roots of love everyday girl, your education ain't complete
teacher's gonna show you (she's gonna show you)
how to get an ""A"" (na, na, na, na, na, na)
how to spell ""me"", ""you"", add the two, listen to me baby thats all you got to do
Oh
A B C, It's easy as
1 2 3, as simple as, do re mi, A B C, 1 2 3
baby you and me girl
A B C it's easy, it's like counting up to 3
singing simple melodies, that's how easy love can be
singing simple melodies
1 2 3 baby you and me
Sit down girl, I think I love ya', No, get up girl, show me what you can do
Shake it, shake it baby, come on now
Shake it, shake it baby, oooh, oooh
Shake it, shake it baby, yeah
1 2 3 baby, oooh oooh
A B C baby, ah, ah
do re mi baby, wow
thats how easy love can be
A B C it's easy, it's like counting up to 3
singing simple melodies
that's how easy love can be
teacher's gonna teach you how to
sing it out, sing it out, sing it out baby"
"Ain't No Sunshine Lyrics","2000","Michael-Jackson","Aint-No-Sunshine-Lyrics","You ever want something
That you know you shouldn't have
The more you know you shouldn't have it
The more you want it
And then one day
You get it
It's so good too you
But it's just like my girl
When she's around me
I just feel so good,
So good
But right now I just feel cold,
So cold
Right down to my bones 'cause ooh
Ain't no sunshine when she's gone
It's not warm when she's away
Ain't no sunshine when she's gone
And she's always gone too long
Anytime she goes away
Wonder this time where she's gone
Wonder if she's gone to stay
Ain't no sunshine when she's gone
And this house just ain't no home
Anytime she goes away
I know, I know, I know
Hey I ought to leave
I ought to leave her alone
Ain't no sunshine when she's gone
Ain't no sunshine when she's gone
Only darkness every day
Ain't no sunshine when she's gone
And this house just ain't no home
Anytime she goes away
Ain't no sun, ain't no sun
No no no
Anytime she goes away
Ain't no sun when she's gone
It's not warm when she's away
And she's always gone too long
Anytime she goes away"
"Ain't No Sunshine (Benny Blanco Remix) Lyrics","2009","Michael-Jackson","Aint-No-Sunshine-Benny-Blanco-Remix-Lyrics","You ever want something
That you know you shouldn't have
The more you know you shouldn't have it
The more you want it and then one day you get it
It's so good too but it's just like my girl
When she's around me I just feel so good, so good
But right now I just feel cold, so cold
Right down to my bones 'cause ooh, Ain't no sunshine when she's gone
It's not warm when she's away
Ain't no sunshine when she's gone
And she's always gone too long
Anytime she goes away, Wonder this time where she's gone
Wonder if she's gone to stay
Ain't no sunshine when she's gone
And this house just ain't no home
Anytime she goes away, I know, I know, I know
Hey I ought to leave
I ought to leave her alone
Ain't no sunshine when she's gone, Ain't no sunshine when she's gone
Only darkness every day
Ain't no sunshine when she's gone
And this house just ain't no home
Anytime she goes away, Ain't no sun, ain't no sun
No no no
Anytime she goes away, Ain't no sun when she's gone
It's not warm when she's away
And she's always gone too long
Anytime she goes away"
"Al Capone Lyrics","2012","Michael-Jackson","Al-Capone-Lyrics","Why did you let him a getaway,
after the scaring what you say
Straight to the bone on that cold as ice, screaming my fist and pull the dime
She's in disguise and now she's in,
now it's my job to get revenge
Why did you let him a getaway,
why did you let him a geta, Too bad, forget it,
'cause there's Al Capone in it
So sad, regret it,
'cause the mad man's out tonight, Should have told her,
nobody ever showed her 'bout this
And now I'm screaming,
nobody should be creeping this way
Should have told her,
nobody ever showed her 'bout this
And now I'm screaming,
nobody should be creeping this way, Why did you let him a getaway,
after the scaring what you say
Straight to the bone on that cold as ice, screaming my fist and pull the dime
She's in disguise and now she's in,
now it's my job to get revenge
Why did you let him a getaway,
why did you let him a geta, Too bad, forget it,
'cause there's Al Capone in it
So sad, regret it,
'cause the mad man's out tonight, Should have told her,
nobody ever showed her 'bout this
And now I'm screaming,
nobody should be creeping this way
Should have told her,
nobody ever showed her 'bout this
And now I'm screaming, nobody should be creeping this way (auw), Too bad, forget it,
'cause there's Al Capone in it
So sad, regret it,
'cause a man's out tonight, Should have told her,
nobody ever showed her 'bout this
And now I'm screaming,
nobody should be creeping this way
Should have told her,
nobody ever showed her 'bout this
And now I'm screaming,
nobody should be creeping this way, Should have told her,
nobody ever showed her 'bout this
And now I'm screaming,
nobody should be creeping this way
Should have told her,
nobody ever showed her 'bout this
And now I'm screaming,
nobody should be creeping this way, Should have told her,
nobody ever showed her 'bout this
And now I'm screaming,
nobody should be creeping this way
Should have told her,
nobody ever showed her 'bout this
And now I'm screaming,
nobody should be creeping this way, (auw), Why did you let him a getaway,
after the scaring what you say
Straight to the bone on that cold as ice, screaming my fist and pull the dime
She's in disguise and now she's in,
now it's my job to get revenge
Why did you let him a getaway,
why did you let him a getaway (auw), Tutuludududu, hee-hee-hee-hee, Why did you let him a getaway
Why did you let him a getaway"
